City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
513,Cockburn Town,TC,21.4612,-71.1419,87.76,62,40,14.97,scattered clouds
514,De Panne,BE,51.0792,2.5917,71.01,67,75,4.61,broken clouds
515,Tiarei,PF,-17.5333,-149.3333,75.22,75,22,14.2,few clouds
516,Mulege,MX,26.8833,-111.9833,89.2,33,60,3.74,broken clouds
517,Touros,BR,-5.1989,-35.4608,81.61,62,52,19.35,broken clouds
518,Breves,BR,-1.6822,-50.4803,91.4,44,85,4.97,overcast clouds
519,Katsuura,JP,35.1333,140.3,76.12,95,64,11.23,broken clouds
520,Mantua,IT,45.1667,10.7833,88.84,59,6,1.01,clear sky
521,Nova Olinda Do Norte,BR,-3.8881,-59.0942,99.07,24,56,4.76,broken clouds
522,Guadalupe Y Calvo,MX,26.1,-106.9667,69.46,54,60,6.44,broken clouds
523,Kainantu,PG,-6.2887,145.8655,55.18,95,61,2.1,broken clouds
524,Blythe,US,33.6103,-114.5964,93.04,47,4,10.16,clear sky
525,Gasa,PS,31.5,34.4667,81.88,58,0,4.97,clear sky
526,Sola,VU,-13.8833,167.55,79.02,69,8,17.22,clear sky
527,Chamba,IN,32.5667,76.1333,73.71,83,47,3.76,scattered clouds
528,Kamina,CD,-8.7386,24.9906,75.81,23,50,4.16,scattered clouds
529,Shimoda,JP,34.6667,138.95,75.11,91,71,10.45,broken clouds
530,Kibala,TD,9.1104,18.3463,75.15,88,20,6.91,few clouds
531,Coahuayana,MX,18.7333,-103.6833,91.96,50,48,4.54,scattered clouds
532,Matagami,CA,49.7502,-77.6328,69.91,60,20,6.91,few clouds
533,Iguatemi,BR,-23.6803,-54.5611,72.72,56,3,6.8,clear sky
534,Port Moresby,PG,-9.4431,147.1797,73.31,91,40,8.01,scattered clouds
535,Cathedral City,US,33.7797,-116.4653,99.28,56,20,5.99,few clouds
536,Conde,BR,-7.2597,-34.9075,81.86,65,75,18.41,broken clouds
537,Cuyo,PH,10.8525,121.0086,82.81,77,100,11.68,heavy intensity rain
538,Sao Felix Do Xingu,BR,-6.6447,-51.995,97.7,17,99,5.95,overcast clouds
539,Torbay,CA,47.6666,-52.7314,63.28,81,75,5.75,broken clouds
540,La Paz,BO,-16.5,-68.15,60.78,24,20,5.75,few clouds
541,Knyaze-Volkonskoye,RU,48.4642,135.4567,61.14,86,10,5.88,clear sky
542,Kawalu,ID,-7.3817,108.2082,70.83,97,100,0.78,overcast clouds
543,Yarmouth,US,41.7057,-70.2286,86.14,85,42,1.99,scattered clouds
544,Shirokiy,RU,49.758,129.523,50.41,85,35,2.89,scattered clouds
545,Hervey Bay,AU,-25.2986,152.8535,62.31,79,12,12.26,few clouds
546,Eregli,TR,37.5133,34.0467,74.35,45,13,9.28,few clouds
547,Maceio,BR,-9.6658,-35.7353,74.64,83,75,17.27,broken clouds
548,Bambanglipuro,ID,-7.95,110.2833,74.5,85,99,6.62,overcast clouds
549,Nikolayevskaya,RU,47.6139,41.5023,79.38,27,96,20.31,overcast clouds
550,Severomuysk,RU,56.1481,113.4267,35.46,88,36,4.88,scattered clouds
551,Najran,SA,17.4924,44.1277,93.85,17,80,6.49,broken clouds
552,Rudsar,IR,37.1376,50.288,82.38,80,34,2.44,scattered clouds
553,Lata,PT,40.1629,-8.3327,67.82,65,1,9.89,clear sky
554,Manicore,BR,-5.8092,-61.3003,85.95,48,0,5.75,clear sky
555,Ewa Beach,US,21.3156,-158.0072,80.1,72,42,15.48,scattered clouds
556,Sovetskiy,RU,61.3614,63.5842,65.52,64,81,5.01,broken clouds
557,Monrovia,LR,6.3005,-10.7969,80.37,77,100,9.51,overcast clouds
558,Waitati,NZ,-45.75,170.5667,48.79,72,66,3.78,broken clouds
559,Gazojak,TM,41.1875,61.4036,71.37,18,0,15.48,clear sky
560,Diu,IN,20.7141,70.9822,80.67,81,93,15.05,overcast clouds
561,Pulsano,IT,40.3821,17.3564,80.82,47,57,5.01,broken clouds
562,Gobabis,NA,-22.45,18.9667,57.24,14,0,11.68,clear sky
563,Mana,GF,5.6592,-53.7767,82.22,73,37,7.85,scattered clouds
564,Texarkana,US,33.4251,-94.0477,84.42,74,75,6.91,broken clouds
565,Khash,IR,28.2211,61.2158,76.6,15,6,4.79,clear sky
566,Leshukonskoye,RU,64.8989,45.7622,62.37,61,2,4.36,clear sky
567,Sao Felipe,BR,-14.8167,-41.3833,70.77,63,99,11.95,overcast clouds
568,Cacu,BR,-18.5567,-51.1308,85.73,27,51,6.93,broken clouds
569,Novi Pazar,RS,43.1367,20.5122,64.02,97,100,3.15,overcast clouds
570,Hillsborough,US,37.5741,-122.3794,80.94,73,100,17.27,overcast clouds
571,Seoul,KR,37.5683,126.9778,78.24,91,20,4.61,few clouds
572,Sakakah,SA,29.9697,40.2064,94.57,16,0,9.26,clear sky
573,Coquimbo,CL,-29.9533,-71.3436,55.13,82,100,5.75,overcast clouds
574,Kailua,US,21.4022,-157.7394,80.15,74,38,4.0,scattered clouds
575,Sioux Lookout,CA,50.1001,-91.917,73.47,56,20,8.05,few clouds
576,Cairns,AU,-16.9167,145.7667,67.95,68,33,11.5,scattered clouds
577,Tezu,IN,27.9167,96.1667,77.99,96,21,2.91,few clouds
578,Sirjan,IR,29.452,55.6814,76.8,12,0,9.86,clear sky
579,Shakiso,ET,5.75,38.9167,62.62,79,98,2.71,overcast clouds
580,Goderich,CA,43.7501,-81.7165,73.9,83,100,9.22,overcast clouds
581,Gadarwara,IN,22.9167,78.7833,73.44,97,100,15.41,heavy intensity rain
582,Reconquista,AR,-29.15,-59.65,68.81,29,0,3.94,clear sky
583,Tulsipur,NP,28.131,82.2973,74.98,87,86,3.24,overcast clouds
584,Nanzhang,CN,31.7765,111.8386,85.66,64,98,6.58,overcast clouds
585,Salto,UY,-31.3833,-57.9667,64.56,49,0,8.01,clear sky
586,Shrewsbury,GB,52.7101,-2.7521,69.67,78,100,6.91,overcast clouds
587,Cascais,PT,38.6979,-9.4215,82.26,70,20,26.46,few clouds
588,Yar-Sale,RU,66.8333,70.8333,53.51,93,100,6.2,overcast clouds
589,Tsumeb,NA,-19.2333,17.7167,65.3,11,42,9.26,scattered clouds
590,Lafia,NG,8.4833,8.5167,77.67,84,71,3.67,broken clouds
591,Kaoma,ZM,-14.7833,24.8,66.76,20,11,5.35,few clouds
592,Volyne,CZ,49.1658,13.8862,67.39,86,96,3.49,overcast clouds
593,Hagdan,PH,11.3333,123.9,81.63,77,100,11.95,overcast clouds
594,Springbok,ZA,-29.6643,17.8865,54.28,32,0,5.77,clear sky
595,Ambilobe,MG,-13.2,49.05,74.53,56,80,7.61,broken clouds
596,Varnavino,RU,57.4035,45.0916,60.94,66,5,4.99,clear sky
597,Boueni,YT,-12.9025,45.0761,75.18,75,11,7.81,few clouds
598,Barcelos,PT,41.5388,-8.6151,83.91,68,28,12.26,scattered clouds
599,Mecca,SA,21.4267,39.8261,92.55,27,41,6.38,scattered clouds
600,Campoverde,PE,-8.4753,-74.8058,88.12,27,68,4.61,broken clouds
601,Bijar,IR,35.8668,47.6051,69.21,28,53,10.04,broken clouds
602,Buzdyak,RU,54.5833,54.55,70.75,63,99,3.71,overcast clouds
603,Boa Vista,BR,2.8197,-60.6733,83.95,69,66,8.86,broken clouds
604,Betul,IN,21.9153,77.8961,70.84,96,100,20.13,heavy intensity rain
605,Saint-Augustin,CA,51.226,-58.6502,74.88,64,13,10.63,few clouds
606,San Patricio,US,28.017,-97.5169,89.49,69,93,12.64,overcast clouds
607,Semporna,MY,4.4818,118.6112,79.72,82,98,3.71,overcast clouds
608,Weiser,US,44.251,-116.9693,92.32,35,1,1.99,clear sky
609,Lashio,MM,22.9333,97.75,69.96,99,94,0.29,light rain
610,Sinazongwe,ZM,-17.2614,27.4618,72.82,48,1,1.16,clear sky
611,Husavik,IS,66.0449,-17.3389,43.79,68,43,6.62,scattered clouds
612,Buala,SB,-8.145,159.5921,78.71,82,80,6.58,light rain
613,Dovers,VC,12.8833,-61.1833,78.39,75,87,12.12,overcast clouds
614,Sosnovka,RU,56.255,51.2842,64.17,72,0,3.11,clear sky
615,Palmer,US,42.1584,-72.3287,88.77,43,95,8.01,overcast clouds
616,Watsa,CD,3.0372,29.5355,67.19,86,84,1.97,broken clouds
617,Nikolayevka,RU,53.1257,47.2041,67.28,54,0,5.26,clear sky
618,Sibu,MY,2.3,111.8167,72.63,98,95,0.65,overcast clouds
619,College,US,64.8569,-147.8028,62.08,72,97,1.01,overcast clouds
620,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,77.43,13,0,4.79,clear sky
621,Kloulklubed,PW,7.0419,134.2556,83.26,72,38,7.43,scattered clouds
622,Reni,UA,45.4573,28.2932,76.37,63,51,6.85,broken clouds
623,Cabra,ES,37.4725,-4.4421,98.65,15,1,1.01,clear sky
624,Northam,GB,51.0333,-4.2167,67.24,82,54,4.54,broken clouds
625,Dezful,IR,32.3811,48.4058,101.7,10,4,3.85,clear sky
626,Fort Nelson,CA,58.8053,-122.7002,65.79,59,20,2.3,few clouds
627,Jumla,NP,29.2747,82.1838,61.99,92,98,4.79,overcast clouds
628,Chernyy Yar,RU,48.0624,46.1091,76.3,31,93,12.71,overcast clouds
629,Kondopoga,RU,62.2057,34.2614,61.07,84,100,4.21,overcast clouds
630,Nsoko,SZ,-27.0333,31.95,57.61,74,0,4.09,clear sky
631,Aguimes,ES,27.9054,-15.4461,81.23,61,0,27.63,clear sky
632,Vung Tau,VN,10.346,107.0843,80.1,85,84,11.07,broken clouds
633,Muisne,EC,0.6,-80.0333,76.84,74,89,9.13,overcast clouds
634,Ust-Maya,RU,60.4167,134.5333,52.39,77,100,9.62,overcast clouds
635,Shelburne,CA,44.0787,-80.2041,75.31,74,100,6.13,overcast clouds
636,Beidao,CN,34.5686,105.8933,78.4,73,100,3.29,overcast clouds
637,Iroquois Falls,CA,48.7669,-80.6831,72.81,48,4,3.78,clear sky
638,Agirish,RU,61.9247,63.0231,64.74,65,69,3.31,broken clouds
639,Xifeng,CN,42.7372,124.7222,66.49,91,100,7.4,overcast clouds
640,Bonavista,CA,48.6499,-53.1147,62.83,71,81,4.25,broken clouds
641,Inirida,CO,3.8653,-67.9239,73.4,89,93,5.3,overcast clouds
642,Novikovo,RU,51.1537,37.8879,74.3,26,99,11.95,overcast clouds
643,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,82,40,4.61,scattered clouds
644,Saint-Louis,SN,16.3333,-15.0,87.48,53,100,3.2,overcast clouds
645,Nanning,CN,22.8167,108.3167,77.14,92,30,4.83,scattered clouds
646,Knysna,ZA,-34.0363,23.0471,52.16,79,0,3.67,clear sky
647,Ouadda,CF,8.0777,22.4007,68.9,96,99,2.89,light rain
648,Catuday,PH,16.2923,119.8062,80.85,80,100,9.86,moderate rain
649,Shingu,JP,33.7333,135.9833,76.91,92,10,4.92,clear sky
650,Brae,GB,60.3964,-1.353,53.87,81,24,16.13,few clouds
651,San Vicente,AR,-26.6167,-54.1333,71.37,51,5,0.76,clear sky
652,Ransang,PH,8.9603,117.5828,77.56,88,95,2.01,overcast clouds
653,Namibe,AO,-15.1961,12.1522,65.77,93,9,3.27,clear sky
654,Caririacu,BR,-7.0422,-39.2836,86.92,23,37,9.4,scattered clouds
655,Atar,MR,20.5169,-13.0499,97.29,30,52,10.27,broken clouds
656,Ormara,PK,25.2088,64.6357,81.61,85,73,10.67,broken clouds
657,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,58,0,17.27,clear sky
658,Madisonville,US,37.3281,-87.4989,81.88,76,68,1.01,broken clouds
659,Omboue,GA,-1.5746,9.2618,75.06,86,72,7.38,broken clouds
660,Pasighat,IN,28.0667,95.3333,79.54,88,2,2.37,clear sky
661,Alamosa,US,37.4695,-105.87,69.78,43,0,3.44,clear sky
662,Nishihara,JP,26.1842,127.7558,83.68,84,100,9.22,overcast clouds
663,Stornoway,GB,58.2093,-6.3865,58.93,79,40,9.22,scattered clouds
664,Marawi,PH,7.9986,124.2928,68.67,92,100,4.61,overcast clouds
665,Quang Ngai,VN,15.1167,108.8,77.47,90,28,4.41,scattered clouds
666,Damara,CF,4.9608,18.7035,71.22,96,100,2.53,overcast clouds
667,Krasnozerskoye,RU,53.9828,79.2374,55.0,80,100,7.65,overcast clouds
668,Rameswaram,IN,9.2833,79.3,83.08,80,92,19.19,overcast clouds
669,Terrace,CA,54.5163,-128.6035,76.51,54,0,0.69,clear sky
670,Mago,RU,53.2514,140.1822,53.31,93,100,7.94,overcast clouds
671,Sun City West,US,33.662,-112.3413,91.15,58,20,4.0,few clouds
672,Flin Flon,CA,54.7682,-101.865,64.31,79,100,8.01,overcast clouds
673,Maumere,ID,-8.6199,122.2111,75.02,74,49,5.39,scattered clouds
674,Anadyr,RU,64.75,177.4833,48.0,70,5,4.0,clear sky
675,Filadelfia,US,39.9523,-75.1638,88.21,59,75,6.91,broken clouds
676,Vila,PT,42.0304,-8.1588,75.7,50,36,7.67,scattered clouds
677,Mamallapuram,IN,12.6264,80.1722,78.06,77,98,9.06,moderate rain
678,Beliu,RO,46.4833,21.9833,66.92,95,100,2.95,overcast clouds
679,Cavalcante,BR,-13.7975,-47.4583,83.62,22,35,11.88,scattered clouds
680,Vostok,RU,46.4856,135.8833,52.97,91,51,4.23,broken clouds
681,Kerchevskiy,RU,59.946,56.2884,60.66,70,0,3.24,clear sky
682,Esil,KZ,51.9556,66.4042,55.87,87,58,6.6,broken clouds
683,Kerema,PG,-7.9631,145.7785,74.97,92,91,1.68,overcast clouds
684,Rumphi,MW,-11.0186,33.8575,64.92,71,29,4.7,scattered clouds
685,Tapachula,MX,14.9,-92.2833,86.52,74,75,6.91,broken clouds
686,Souillac,MU,-20.5167,57.5167,68.38,83,40,3.44,scattered clouds
687,Bandiagara,ML,14.3501,-3.6104,87.96,48,75,3.96,broken clouds
688,Uthal,PK,25.8072,66.6219,81.16,86,100,6.93,overcast clouds
