City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Praia Da Vitoria,PT,2022-08-20 16:20:23,38.7333,-27.0667,77.25,83,75,4.54
103,Kirakira,SB,2022-08-20 16:20:23,-10.4544,161.9205,78.31,85,100,9.42
104,Isangel,VU,2022-08-20 16:20:23,-19.55,169.2667,73.09,76,22,8.72
105,Flinders,AU,2022-08-20 16:20:24,-34.5833,150.8552,50.38,79,71,12.08
106,Tokur,RU,2022-08-20 16:20:24,53.1333,132.9,42.55,94,51,1.92
107,Mezhova,UA,2022-08-20 16:20:24,48.2532,36.7347,68.7,86,95,6.06
108,Yekepa,LR,2022-08-20 16:20:25,7.5753,-8.5419,73.67,88,97,2.68
109,Khatanga,RU,2022-08-20 16:20:25,71.9667,102.5,40.35,66,9,6.49
110,Tateyama,JP,2022-08-20 16:20:25,34.9833,139.8667,78.1,93,100,11.97
111,Klaksvik,FO,2022-08-20 16:20:31,62.2266,-6.589,52.72,91,100,3.67
112,Esperance,AU,2022-08-20 16:20:33,-33.8667,121.9,52.88,83,37,7.7
113,Pundaguitan,PH,2022-08-20 16:20:33,6.3711,126.1689,83.79,70,27,12.84
114,Cherskiy,RU,2022-08-20 16:20:34,68.75,161.3,52.86,52,0,11.12
115,Banda Aceh,ID,2022-08-20 16:20:34,5.5577,95.3222,80.04,81,91,10.38
116,Tomatlan,MX,2022-08-20 16:20:35,19.9333,-105.25,86.41,62,93,1.92
117,Mabaruma,GY,2022-08-20 16:20:35,8.2,-59.7833,85.14,77,100,5.57
118,Coquimbo,CL,2022-08-20 16:20:35,-29.9533,-71.3436,55.13,87,100,8.05
119,Hobyo,SO,2022-08-20 16:20:36,5.3505,48.5268,77.5,85,89,23.8
120,Severo-Kurilsk,RU,2022-08-20 16:20:36,50.6789,156.125,53.37,98,100,14.74
121,Soria,ES,2022-08-20 16:20:37,41.6667,-2.6667,92.1,23,0,11.25
122,Mar Del Plata,AR,2022-08-20 16:20:37,-38.0023,-57.5575,60.82,41,0,20.71
123,Codrington,AU,2022-08-20 16:20:37,-38.2667,141.9667,39.09,78,53,6.08
124,Moree,AU,2022-08-20 16:20:38,-29.4667,149.85,46.06,76,3,4.43
125,Sobolevo,RU,2022-08-20 16:20:38,54.4299,31.8996,61.12,67,74,12.44
126,Ambon,ID,2022-08-20 16:20:38,-3.6954,128.1814,77.14,88,40,6.91
127,Magistralnyy,RU,2022-08-20 16:20:39,56.1725,107.4458,48.29,96,100,1.81
128,Kavieng,PG,2022-08-20 16:20:39,-2.5744,150.7967,80.85,77,100,14.72
129,Halifax,CA,2022-08-20 16:17:33,44.6453,-63.5724,84.45,52,42,13.8
130,Katherine,AU,2022-08-20 16:20:39,-14.4667,132.2667,64.72,32,0,8.05
131,Millinocket,US,2022-08-20 16:20:40,45.6573,-68.7098,87.42,54,0,5.75
132,Porto Novo,BJ,2022-08-20 16:20:40,6.4965,2.6036,80.08,69,92,11.5
133,Shingu,JP,2022-08-20 16:20:41,33.7333,135.9833,78.33,92,100,3.91
134,Putina,PE,2022-08-20 16:20:41,-15.4667,-69.4333,47.57,39,0,4.52
135,Souillac,MU,2022-08-20 16:20:41,-20.5167,57.5167,71.98,78,75,14.97
136,Laguna,US,2022-08-20 16:16:00,38.421,-121.4238,88.93,63,0,3.44
137,Itirapina,BR,2022-08-20 16:20:42,-22.2528,-47.8228,66.13,49,82,11.01
138,Georgetown,MY,2022-08-20 16:16:22,5.4112,100.3354,83.89,86,20,2.3
139,Burns Lake,CA,2022-08-20 16:21:42,54.2331,-125.7533,54.82,51,23,2.53
140,Saldanha,ZA,2022-08-20 16:21:43,-33.0117,17.9442,55.45,65,25,12.33
141,Buraydah,SA,2022-08-20 16:21:43,26.326,43.975,104.45,14,81,8.72
142,Hermanus,ZA,2022-08-20 16:21:43,-34.4187,19.2345,52.81,60,68,7.61
143,Gushikawa,JP,2022-08-20 16:21:44,26.3544,127.8686,84.2,84,0,8.05
144,Yataity Del Norte,PY,2022-08-20 16:21:44,-24.8333,-56.35,64.76,47,0,5.57
145,Norman Wells,CA,2022-08-20 16:21:45,65.282,-126.8329,53.64,82,75,9.22
146,Mangrol,IN,2022-08-20 16:21:45,21.1167,70.1167,81.25,83,82,13.58
147,New Norfolk,AU,2022-08-20 16:21:45,-42.7826,147.0587,36.72,81,60,2.95
148,Camana,PE,2022-08-20 16:21:46,-16.6228,-72.7111,64.62,67,42,9.69
149,Leningradskiy,RU,2022-08-20 16:21:46,69.3833,178.4167,33.24,92,61,9.37
150,Coihaique,CL,2022-08-20 16:19:12,-45.5752,-72.0662,48.81,87,100,3.44
151,Sao Filipe,CV,2022-08-20 16:21:46,14.8961,-24.4956,78.33,80,100,6.58
152,Abu Dhabi,AE,2022-08-20 16:18:37,24.4667,54.3667,95.11,74,0,9.22
153,Butaritari,KI,2022-08-20 16:21:47,3.0707,172.7902,80.62,74,37,5.12
154,Acari,PE,2022-08-20 16:21:47,-15.4311,-74.6158,72.28,49,42,7.85
155,Port Alfred,ZA,2022-08-20 16:21:48,-33.5906,26.891,55.92,69,89,25.34
156,Kaitangata,NZ,2022-08-20 16:21:48,-46.2817,169.8464,47.35,96,100,2.04
157,Sayyan,YE,2022-08-20 16:21:48,15.1718,44.3244,67.32,54,88,11.23
158,Katsuura,JP,2022-08-20 16:21:49,35.1333,140.3,76.59,95,100,6.49
159,Thompson,CA,2022-08-20 16:21:49,55.7435,-97.8558,77.16,57,20,8.05
160,Port Blair,IN,2022-08-20 16:21:49,11.6667,92.75,82.44,83,40,5.75
161,Saskylakh,RU,2022-08-20 16:21:50,71.9167,114.0833,43.5,59,96,6.2
162,Castelo Branco,PT,2022-08-20 16:17:50,39.8222,-7.4909,99.07,10,0,10.09
163,Jumla,NP,2022-08-20 16:21:50,29.2747,82.1838,63.77,91,99,1.39
164,Faya,SA,2022-08-20 16:21:51,18.3851,42.4509,72.12,75,83,8.23
165,Yellowknife,CA,2022-08-20 16:19:09,62.456,-114.3525,61.32,77,20,16.11
166,Deputatskiy,RU,2022-08-20 16:21:53,69.3,139.9,49.71,88,55,3.62
167,Sao Joao Da Barra,BR,2022-08-20 16:21:53,-21.6403,-41.0511,69.89,66,100,19.53
168,Tuktoyaktuk,CA,2022-08-20 16:21:53,69.4541,-133.0374,42.8,87,100,5.75
169,Alferrarede,PT,2022-08-20 16:21:54,39.4833,-8.1667,98.47,28,0,5.01
170,Kloulklubed,PW,2022-08-20 16:21:54,7.0419,134.2556,73.9,71,100,1.25
171,Nioro,GM,2022-08-20 16:21:54,13.35,-15.75,81.28,80,94,11.52
172,Sitka,US,2022-08-20 16:21:55,57.0531,-135.33,57.09,94,100,5.75
173,Saint Pete Beach,US,2022-08-20 16:21:55,27.7253,-82.7412,95.25,62,39,4.0
174,Miles City,US,2022-08-20 16:21:55,46.4083,-105.8406,76.17,43,0,16.11
175,Auki,SB,2022-08-20 16:21:56,-8.7676,160.7034,75.87,90,100,5.17
176,Sabang,ID,2022-08-20 16:17:09,5.8933,95.3214,83.1,77,91,16.51
177,Jinchang,CN,2022-08-20 16:21:56,38.4953,102.1739,78.98,37,78,8.86
178,Bluff,NZ,2022-08-20 16:21:57,-46.6,168.3333,48.79,95,100,6.73
179,Longyearbyen,SJ,2022-08-20 16:21:57,78.2186,15.6401,40.84,75,40,11.5
180,Hasaki,JP,2022-08-20 16:21:57,35.7333,140.8333,75.6,94,100,7.0
181,Sibsagar,IN,2022-08-20 16:21:58,26.9833,94.6333,82.29,82,59,4.07
182,Olafsvik,IS,2022-08-20 16:21:58,64.8945,-23.7142,47.01,75,89,16.4
183,Butembo,CD,2022-08-20 16:21:58,0.15,29.2833,59.43,94,62,0.87
184,Port Macquarie,AU,2022-08-20 16:21:59,-31.4333,152.9167,42.89,74,40,11.41
185,Chiang Khong,TH,2022-08-20 16:21:59,20.2613,100.4046,74.77,99,100,0.47
186,Yulara,AU,2022-08-20 16:20:15,-25.2406,130.9889,50.9,44,12,9.73
187,Samara,RU,2022-08-20 16:23:00,53.0,50.0,67.51,27,8,6.33
188,Salekhard,RU,2022-08-20 16:23:00,66.53,66.6019,52.5,48,57,7.7
189,Saint-Philippe,RE,2022-08-20 16:23:01,-21.3585,55.7679,69.39,74,28,15.01
190,Mandalgovi,MN,2022-08-20 16:23:02,45.7625,106.2708,66.52,32,35,6.04
191,Touros,BR,2022-08-20 16:23:02,-5.1989,-35.4608,83.37,55,8,20.98
192,Letlhakane,BW,2022-08-20 16:23:02,-21.4167,25.5833,67.84,11,42,8.88
193,Xiangfan,CN,2022-08-20 16:23:03,32.0422,112.1448,84.15,78,100,5.39
194,Verkhnyaya Inta,RU,2022-08-20 16:23:03,65.9811,60.3094,61.99,77,86,9.37
195,Sipe Sipe,BO,2022-08-20 16:23:04,-17.45,-66.3833,66.69,18,0,2.53
196,Alto Araguaia,BR,2022-08-20 16:23:04,-17.3147,-53.2153,80.2,35,1,9.84
197,Puerto Maldonado,PE,2022-08-20 16:23:04,-12.6,-69.1833,75.6,29,0,8.05
198,Vardo,NO,2022-08-20 16:23:05,70.3705,31.1107,60.28,86,75,10.47
199,Nkayi,CG,2022-08-20 16:23:05,-4.1841,13.2884,93.22,31,100,2.15
200,Prieska,ZA,2022-08-20 16:23:05,-29.6641,22.7474,57.31,25,0,7.56
201,Biltine,TD,2022-08-20 16:23:06,14.5333,20.9167,83.57,58,86,11.41
202,Sinnamary,GF,2022-08-20 16:23:06,5.3833,-52.95,86.99,61,99,10.38
203,Inongo,CD,2022-08-20 16:23:07,-1.95,18.2667,74.17,74,71,6.4
204,Vila Franca Do Campo,PT,2022-08-20 16:23:07,37.7167,-25.4333,73.81,64,5,3.53
205,Xuzhou,CN,2022-08-20 16:23:07,34.1805,117.1571,72.23,80,48,5.99
206,Carnarvon,AU,2022-08-20 16:23:08,-24.8667,113.6333,68.16,53,0,12.8
207,Geraldton,AU,2022-08-20 16:23:08,-28.7667,114.6,48.61,93,0,4.61
208,Ponta Delgada,PT,2022-08-20 16:23:08,37.7333,-25.6667,74.12,68,75,9.22
209,Kasongo-Lunda,CD,2022-08-20 16:23:09,-6.4667,16.8167,95.76,20,100,3.33
210,Marsa Matruh,EG,2022-08-20 16:23:09,31.3525,27.2453,84.79,60,0,17.05
211,Rafaela,AR,2022-08-20 16:23:09,-31.2503,-61.4867,63.99,16,100,5.01
212,Redlands,US,2022-08-20 16:22:12,34.0556,-117.1825,96.93,53,0,0.0
213,Grand Gaube,MU,2022-08-20 16:23:10,-20.0064,57.6608,72.0,73,13,8.99
214,Chauk,MM,2022-08-20 16:23:10,20.8833,94.8167,83.95,75,99,7.83
215,Tsogni,GA,2022-08-20 16:23:11,-2.7942,10.0988,75.38,72,73,7.76
216,Alice Springs,AU,2022-08-20 16:23:11,-23.7,133.8833,40.55,60,1,0.0
